name,accuracy,f1-score,precision,recall
ipchksum_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.1952,0.194,0.2293,0.1959
ipdst_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.4614,0.4659,0.5276,0.4627
ipflags_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0237,0.0185,0.0327,0.0239
ipfrag_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipihl_zscore_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipinlen_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.939,0.939,0.9497,0.9394
iplen_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.925,0.936,0.9544,0.9248
ipoutlen_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.7461,0.7493,0.7782,0.7449
ipproto_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipsrc_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.5115,0.5051,0.5599,0.5119
iptos_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.2182,0.1733,0.2121,0.2188
ipversion_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pktdir_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pktdirlen_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.905,0.9129,0.9402,0.9039
pkttsdiff_power_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.4872,0.4878,0.5461,0.4882
pkttsrel_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.3477,0.3433,0.4032,0.348
tcpack_power_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0107,0.003,0.0055,0.0112
tcpdataofs_power_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.2228,0.2179,0.258,0.2234
tcpdport_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpflags_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.4438,0.4461,0.5095,0.4446
tcpreserved_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpseq_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0175,0.0031,0.0024,0.0178
tcpsport_maxabs_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpurgptr_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpwindow_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.6602,0.6658,0.6974,0.66
