name,accuracy,f1-score,precision,recall
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_0,0.931,0.9335,0.9403,0.9311
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_100,0.6802,0.7031,0.75,0.6806
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_200,0.5228,0.546,0.6069,0.522
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_300,0.3659,0.4153,0.5422,0.3655
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_400,0.3114,0.3607,0.4956,0.3125
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_500,0.2856,0.3381,0.4851,0.2866
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_600,0.2694,0.3151,0.4433,0.2704
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_700,0.248,0.289,0.4136,0.2493
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_800,0.2037,0.2586,0.534,0.2056
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_900,0.192,0.2298,0.4087,0.1938
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1000,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1100,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1200,0.1227,0.1646,0.5108,0.1243
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1300,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1400,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1500,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1600,0.0782,0.0946,0.2436,0.0801
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1700,0.1105,0.1268,0.249,0.1122
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1800,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_1900,0.0641,0.0657,0.1622,0.0648
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2000,0.0998,0.1145,0.2085,0.1012
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2100,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2200,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2300,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2400,0.0611,0.0692,0.125,0.0619
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_500_100_2500,0.056,0.0588,0.1606,0.0568
