name,accuracy,f1-score,precision,recall
ipid_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1462,0.1365,0.1654,0.1465
ipid_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.01,0.0002,0.0001,0.011
ipid_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1417,0.1192,0.152,0.1416
ipid_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0103,0.0008,0.0011,0.011
ipid_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.193,0.1807,0.2085,0.1931
ipid_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0106,0.0017,0.0014,0.0111
ipid_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2313,0.213,0.253,0.231
