name,accuracy,f1-score,precision,recall
ipinlen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5083,0.4943,0.5456,0.508
ipinlen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7202,0.7349,0.7843,0.7206
ipinlen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5635,0.5645,0.6314,0.5654
ipinlen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.9297,0.9344,0.9588,0.929
ipinlen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipinlen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7479,0.7667,0.8258,0.7478
ipinlen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipinlen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipinlen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7405,0.7563,0.815,0.7396
ipinlen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7152,0.7253,0.7742,0.7136
ipinlen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.619,0.6241,0.6867,0.6209
