name,accuracy,f1-score,precision,recall
iplen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
iplen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7879,0.7877,0.8073,0.7884
iplen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7325,0.7556,0.8079,0.7323
iplen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.9172,0.9213,0.9374,0.917
iplen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
iplen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7899,0.793,0.8131,0.7903
iplen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
iplen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
iplen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7904,0.7967,0.824,0.7907
iplen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.6874,0.6846,0.7096,0.6865
iplen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7796,0.7822,0.8164,0.7792
