name,accuracy,f1-score,precision,recall
ipoutlen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipoutlen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5413,0.5496,0.5962,0.5405
ipoutlen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5297,0.5349,0.5848,0.5307
ipoutlen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.729,0.7312,0.7556,0.7282
ipoutlen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipoutlen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5521,0.5575,0.5979,0.5518
ipoutlen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipoutlen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipoutlen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.544,0.5587,0.6154,0.5444
ipoutlen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipoutlen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5489,0.5539,0.6051,0.5485
