name,accuracy,f1-score,precision,recall
ipproto_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0003,0.0005,0.011
ipproto_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0162,0.0048,0.0057,0.0166
ipproto_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0101,0.0002,0.0001,0.0109
ipproto_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0186,0.0042,0.003,0.0188
