name,accuracy,f1-score,precision,recall
ipttl_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3106,0.2881,0.3355,0.3113
ipttl_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.01,0.0002,0.0001,0.011
ipttl_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2292,0.1893,0.2539,0.2302
ipttl_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.206,0.1663,0.1885,0.2077
ipttl_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.015,0.0073,0.017,0.0159
