name,accuracy,f1-score,precision,recall
pktdir_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2725,0.2374,0.2922,0.2716
pktdir_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.296,0.2728,0.3298,0.2965
pktdir_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.274,0.2479,0.2981,0.2746
pktdir_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2663,0.2355,0.2714,0.2669
pktdir_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1701,0.1272,0.1314,0.1714
pktdir_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2861,0.2506,0.2919,0.2874
pktdir_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2648,0.2349,0.2654,0.2649
pktdir_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2198,0.1704,0.1896,0.2197
pktdir_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pktdir_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pktdir_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3195,0.3037,0.3393,0.32
