name,accuracy,f1-score,precision,recall
pktdirlen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.6126,0.6159,0.6931,0.6095
pktdirlen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7968,0.8206,0.8637,0.7971
pktdirlen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7281,0.7318,0.7721,0.728
pktdirlen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.9146,0.9164,0.9267,0.915
pktdirlen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3277,0.3067,0.3502,0.3287
pktdirlen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7371,0.7661,0.8256,0.736
pktdirlen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2832,0.2518,0.3184,0.2862
pktdirlen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2934,0.2635,0.3093,0.2939
pktdirlen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7602,0.7606,0.793,0.7603
pktdirlen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.6951,0.7071,0.7626,0.6947
pktdirlen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7643,0.7778,0.8248,0.765
