name,accuracy,f1-score,precision,recall
pkttsdiff_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3058,0.2937,0.3349,0.3046
pkttsdiff_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4553,0.4535,0.5031,0.4555
pkttsdiff_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2849,0.2708,0.317,0.2866
pkttsdiff_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4812,0.4786,0.5382,0.481
pkttsdiff_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsdiff_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4633,0.4608,0.5175,0.4652
