name,accuracy,f1-score,precision,recall
pkttsrel_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3106,0.2974,0.3375,0.3115
pkttsrel_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.01,0.0002,0.0001,0.011
pkttsrel_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3063,0.2957,0.3464,0.3062
pkttsrel_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0121,0.0038,0.017,0.0125
pkttsrel_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsrel_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsrel_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsrel_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
pkttsrel_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2826,0.27,0.3174,0.2833
pkttsrel_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3293,0.3202,0.3605,0.3291
pkttsrel_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3352,0.3207,0.3723,0.3341
