name,accuracy,f1-score,precision,recall
tcpack_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1684,0.1467,0.167,0.1687
tcpack_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0438,0.0195,0.0328,0.0439
tcpack_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.011,0.0005,0.0003,0.0123
tcpack_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2479,0.2263,0.2698,0.247
tcpack_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpack_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
