name,accuracy,f1-score,precision,recall
tcpchksum_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0202,0.0033,0.0034,0.0193
tcpchksum_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0125,0.0049,0.0068,0.0124
tcpchksum_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpchksum_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
