name,accuracy,f1-score,precision,recall
tcpdataofs_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdataofs_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0105,0.0002,0.0001,0.011
tcpdataofs_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2131,0.1996,0.2374,0.2139
tcpdataofs_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2257,0.2145,0.256,0.2265
tcpdataofs_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdataofs_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdataofs_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0101,0.0002,0.0001,0.0109
tcpdataofs_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdataofs_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2336,0.2237,0.2581,0.2333
tcpdataofs_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdataofs_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2265,0.2142,0.2543,0.2271
