name,accuracy,f1-score,precision,recall
tcpdport_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0217,0.006,0.0091,0.0202
tcpdport_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2808,0.2561,0.3006,0.2817
tcpdport_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2523,0.2067,0.2284,0.2517
tcpdport_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2987,0.2716,0.3083,0.3004
tcpdport_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdport_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2961,0.2676,0.3092,0.298
tcpdport_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdport_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdport_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.273,0.2473,0.2948,0.2736
tcpdport_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdport_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2991,0.2729,0.3231,0.301
