name,accuracy,f1-score,precision,recall
tcpreserved_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.01,0.0002,0.0001,0.011
tcpreserved_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0192,0.0036,0.003,0.0193
tcpreserved_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpreserved_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
