name,accuracy,f1-score,precision,recall
tcpsport_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0101,0.0002,0.0001,0.0109
tcpsport_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0111,0.0005,0.0002,0.0121
tcpsport_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpsport_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2234,0.1886,0.2148,0.2249
tcpsport_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpsport_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3506,0.3351,0.3716,0.3526
tcpsport_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpsport_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpsport_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2219,0.1886,0.206,0.2236
tcpsport_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2654,0.2325,0.2679,0.2662
tcpsport_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.336,0.3256,0.3955,0.3373
