name,accuracy,f1-score,precision,recall
tcpwindow_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1658,0.154,0.2087,0.1676
tcpwindow_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2853,0.2877,0.3564,0.2856
tcpwindow_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4508,0.449,0.5077,0.4515
tcpwindow_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.6226,0.623,0.6597,0.6232
tcpwindow_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpwindow_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4222,0.4135,0.4734,0.4227
tcpwindow_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpwindow_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0456,0.0275,0.0421,0.045
tcpwindow_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4858,0.4792,0.5375,0.4859
tcpwindow_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5367,0.5348,0.5874,0.5377
tcpwindow_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4852,0.4802,0.5224,0.4871
