name,accuracy,f1-score,precision,recall
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_0,0.4478,0.4524,0.4798,0.4435
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_100,0.2196,0.2284,0.2513,0.2167
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_200,0.2456,0.2497,0.2711,0.2429
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_300,0.2928,0.2958,0.3144,0.2906
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_400,0.259,0.263,0.2831,0.2567
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_500,0.2318,0.2325,0.2489,0.2308
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_600,0.2259,0.2288,0.244,0.2241
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_700,0.2072,0.2088,0.2243,0.2067
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_800,0.2049,0.2138,0.2384,0.2063
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_900,0.2032,0.2092,0.2317,0.2018
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1000,0.2078,0.2182,0.2489,0.2051
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1100,0.216,0.2214,0.2432,0.2137
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1200,0.2311,0.239,0.2645,0.2283
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1300,0.2429,0.2472,0.2729,0.2406
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1400,0.2206,0.2288,0.2567,0.2205
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1500,0.2426,0.2513,0.2767,0.2414
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1600,0.2246,0.2313,0.2593,0.2224
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1700,0.2229,0.2285,0.2483,0.2229
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1800,0.195,0.2025,0.2293,0.1944
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_1900,0.2124,0.2151,0.2423,0.2128
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_2000,0.1976,0.1996,0.2284,0.1971
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_2100,0.2016,0.2044,0.231,0.2007
iplen_token_bigru_5000_64_50_0.001_512_256_3_0.3_256_128_100_100_2200,0.2098,0.2138,0.2398,0.2073
