name,accuracy,f1-score,precision,recall
ipchksum_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipchksum_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0207,0.0035,0.0116,0.0239
ipchksum_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0575,0.033,0.0429,0.058
ipchksum_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0699,0.057,0.061,0.0703
ipchksum_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipchksum_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0167,0.0033,0.0077,0.0203
ipchksum_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipchksum_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipchksum_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.045,0.0269,0.0293,0.0481
ipchksum_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0184,0.0047,0.0035,0.0217
ipchksum_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0417,0.0189,0.0295,0.0452
