name,accuracy,f1-score,precision,recall
ipid_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0798,0.0592,0.0918,0.0798
ipid_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0184,0.0034,0.0019,0.0209
ipid_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0489,0.0322,0.036,0.0498
ipid_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0302,0.0187,0.0187,0.0302
ipid_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipid_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0253,0.009,0.0092,0.0281
ipid_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0023,0.0025,0.0203
ipid_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0424,0.0152,0.0125,0.0455
ipid_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0601,0.0334,0.0456,0.0608
ipid_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0276,0.0102,0.0099,0.0274
ipid_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0371,0.0146,0.0176,0.0379
