name,accuracy,f1-score,precision,recall
ipihl_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
ipihl_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipihl_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipihl_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipihl_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipihl_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
ipihl_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipihl_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
