name,accuracy,f1-score,precision,recall
iplen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
iplen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0952,0.0585,0.0976,0.0922
iplen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0883,0.0575,0.0801,0.0891
iplen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.544,0.5351,0.5898,0.5437
iplen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0207,0.0008,0.0004,0.02
iplen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0785,0.0601,0.096,0.0794
iplen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
iplen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
iplen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1064,0.0721,0.0841,0.1043
iplen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0676,0.0442,0.0512,0.0705
iplen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0903,0.0537,0.0549,0.0908
