name,accuracy,f1-score,precision,recall
ipproto_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
ipproto_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipproto_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0243,0.0031,0.002,0.0271
ipproto_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0286,0.0026,0.0014,0.0298
ipproto_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipproto_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipproto_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipproto_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipproto_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0217,0.0029,0.0053,0.0282
ipproto_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0295,0.0043,0.0026,0.0294
ipproto_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0289,0.0026,0.0014,0.0302
