name,accuracy,f1-score,precision,recall
ipttl_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipttl_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0351,0.0092,0.007,0.0358
ipttl_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0703,0.0312,0.0323,0.0671
ipttl_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.066,0.0451,0.06,0.0682
ipttl_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipttl_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0161,0.0006,0.0003,0.02
ipttl_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipttl_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipttl_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0565,0.0328,0.0403,0.0575
ipttl_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0263,0.0034,0.0018,0.0313
ipttl_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0483,0.019,0.041,0.0492
