name,accuracy,f1-score,precision,recall
pktdir_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0729,0.0455,0.0843,0.0732
pktdir_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0703,0.0381,0.0415,0.0721
pktdir_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0722,0.0389,0.0442,0.0715
pktdir_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0939,0.0632,0.0997,0.0918
pktdir_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0663,0.0407,0.0497,0.0682
pktdir_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0906,0.0567,0.083,0.091
pktdir_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0699,0.043,0.0486,0.0715
pktdir_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0716,0.044,0.0772,0.0726
pktdir_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0591,0.0349,0.0756,0.0601
pktdir_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0584,0.0276,0.0514,0.061
pktdir_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0591,0.0375,0.0621,0.0583
