name,accuracy,f1-score,precision,recall
pktdirlen_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0991,0.0665,0.0722,0.0979
pktdirlen_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.064,0.0308,0.0368,0.0645
pktdirlen_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.128,0.095,0.1223,0.1257
pktdirlen_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4898,0.4834,0.5392,0.4868
pktdirlen_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0538,0.031,0.0313,0.0549
pktdirlen_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0906,0.0607,0.0866,0.0919
pktdirlen_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0765,0.0497,0.0691,0.0781
pktdirlen_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0808,0.0617,0.0858,0.0803
pktdirlen_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1254,0.087,0.1193,0.125
pktdirlen_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0617,0.03,0.0396,0.0651
pktdirlen_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1159,0.082,0.1143,0.1138
