name,accuracy,f1-score,precision,recall
pkttsdiff_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
pkttsdiff_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
pkttsdiff_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0532,0.0255,0.0211,0.0551
pkttsdiff_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0555,0.0479,0.0669,0.0564
pkttsdiff_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
pkttsdiff_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
pkttsdiff_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
pkttsdiff_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
pkttsdiff_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0946,0.0772,0.0913,0.0973
pkttsdiff_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0762,0.046,0.0507,0.0766
pkttsdiff_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0942,0.0765,0.1411,0.0948
