name,accuracy,f1-score,precision,recall
pkttsrel_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0689,0.0309,0.0374,0.0672
pkttsrel_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0325,0.0078,0.0059,0.0306
pkttsrel_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0604,0.0349,0.0624,0.0587
pkttsrel_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0194,0.0008,0.0004,0.02
pkttsrel_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
pkttsrel_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.042,0.0108,0.0067,0.0447
pkttsrel_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
pkttsrel_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
pkttsrel_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0683,0.0352,0.032,0.0679
pkttsrel_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.068,0.0302,0.0253,0.0653
pkttsrel_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0611,0.0287,0.023,0.0596
