name,accuracy,f1-score,precision,recall
tcpack_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0279,0.0031,0.0017,0.0265
tcpack_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0601,0.0333,0.0423,0.0623
tcpack_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2367,0.2282,0.298,0.2356
tcpack_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0223,0.0015,0.0104,0.0203
tcpack_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpack_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0752,0.0454,0.0423,0.0776
tcpack_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0017,0.001,0.0203
tcpack_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0017,0.001,0.0203
tcpack_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2137,0.1914,0.2098,0.2115
tcpack_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0647,0.0386,0.0446,0.0644
tcpack_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2177,0.2081,0.2778,0.2149
