name,accuracy,f1-score,precision,recall
tcpchksum_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0286,0.0026,0.0014,0.0298
tcpchksum_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0148,0.0011,0.0006,0.0184
tcpchksum_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0138,0.0006,0.0003,0.0195
tcpchksum_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0233,0.0108,0.0112,0.0237
tcpchksum_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpchksum_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpchksum_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
tcpchksum_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpchksum_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0194,0.0008,0.0004,0.02
tcpchksum_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpchksum_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0207,0.0008,0.0004,0.02
