name,accuracy,f1-score,precision,recall
tcpdataofs_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0194,0.0008,0.0004,0.02
tcpdataofs_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpdataofs_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.066,0.0487,0.0591,0.0682
tcpdataofs_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1031,0.0786,0.0838,0.1026
tcpdataofs_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpdataofs_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpdataofs_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpdataofs_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpdataofs_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0558,0.0352,0.0388,0.0597
tcpdataofs_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpdataofs_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0584,0.0342,0.0626,0.063
