name,accuracy,f1-score,precision,recall
tcpdport_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0499,0.0248,0.024,0.0522
tcpdport_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0578,0.0329,0.06,0.0581
tcpdport_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1215,0.0984,0.1116,0.1204
tcpdport_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.742,0.7365,0.7603,0.7372
tcpdport_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0263,0.0028,0.0015,0.0285
tcpdport_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0542,0.0279,0.0489,0.054
tcpdport_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0207,0.0022,0.0012,0.0272
tcpdport_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0286,0.0026,0.0014,0.0298
tcpdport_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0663,0.0345,0.0465,0.0687
tcpdport_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0496,0.0248,0.0481,0.0468
tcpdport_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0896,0.0619,0.1004,0.0892
