name,accuracy,f1-score,precision,recall
tcpreserved_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpreserved_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
tcpreserved_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpreserved_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0286,0.0026,0.0014,0.0298
tcpreserved_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0171,0.0007,0.0003,0.02
tcpreserved_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpreserved_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpreserved_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpreserved_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0207,0.0008,0.0004,0.02
tcpreserved_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpreserved_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
