name,accuracy,f1-score,precision,recall
tcpseq_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0286,0.0027,0.0014,0.0298
tcpseq_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0355,0.0163,0.0195,0.0387
tcpseq_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2272,0.2158,0.2615,0.2248
tcpseq_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0174,0.0007,0.0003,0.02
tcpseq_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0213,0.0023,0.0012,0.028
tcpseq_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0834,0.0575,0.0571,0.0861
tcpseq_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0305,0.003,0.0016,0.0289
tcpseq_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpseq_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1536,0.1472,0.2064,0.1547
tcpseq_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0709,0.049,0.0798,0.0728
tcpseq_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1848,0.1749,0.2799,0.1809
