name,accuracy,f1-score,precision,recall
tcpsport_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0512,0.0144,0.011,0.0511
tcpsport_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0847,0.0595,0.0586,0.0833
tcpsport_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1392,0.1102,0.1707,0.1375
tcpsport_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7653,0.7615,0.7823,0.7649
tcpsport_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0276,0.0028,0.0017,0.0286
tcpsport_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0542,0.0307,0.0286,0.0561
tcpsport_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpsport_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpsport_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0854,0.0583,0.073,0.0859
tcpsport_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.066,0.046,0.0452,0.0675
tcpsport_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0647,0.0341,0.0399,0.0671
