name,accuracy,f1-score,precision,recall
tcpurgptr_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpurgptr_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpurgptr_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpurgptr_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0272,0.0026,0.0014,0.0295
tcpurgptr_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpurgptr_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpurgptr_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpurgptr_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpurgptr_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpurgptr_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpurgptr_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
