name,accuracy,f1-score,precision,recall
tcpwindow_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0486,0.0242,0.0244,0.0492
tcpwindow_minmax_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0407,0.0161,0.0125,0.0451
tcpwindow_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1763,0.1414,0.1645,0.1769
tcpwindow_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.6093,0.6098,0.6536,0.6071
tcpwindow_binary_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpwindow_maxabs_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0315,0.0142,0.0127,0.0351
tcpwindow_l1norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
tcpwindow_l2norm_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
tcpwindow_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2278,0.2029,0.2451,0.2298
tcpwindow_quantile_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1395,0.1043,0.1414,0.1393
tcpwindow_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2012,0.1713,0.2167,0.1992
